feature,min,max
rij,1.688199520111084,3.4999983310699463
rik,1.688199520111084,3.4999983310699463
cosjik,-1.0,0.8991174697875977
type_i,0.0,1.0
type_j,0.0,1.0
type_k,0.0,1.0
